Country,WHO Region,Cases - cumulative total,Cases - newly reported in last 7 days,Deaths - cumulative total,Deaths - newly reported in last 7 days
Burundi,Africa,54234,0,15,0
Guam,Western Pacific,51786,0,415,0
Seychelles,Africa,50937,0,172,0
Gabon,Africa,48992,0,307,0
Andorra,Europe,48015,0,159,0
Papua New Guinea,Western Pacific,46864,0,670,0
Curaçao,Americas,45883,0,305,0
Aruba,Americas,44224,0,292,0
United Republic of Tanzania,Africa,43078,0,846,0
Mayotte,Africa,42027,0,187,0
Togo,Africa,39510,0,290,0
Guinea,Africa,38563,0,468,0
Bahamas,Americas,38084,0,844,0
Isle of Man,Europe,38008,0,116,0
Guernsey,Europe,35326,0,67,0
Faroe Islands,Europe,34658,0,28,0
Lesotho,Africa,34490,0,706,0
Haiti,Americas,34301,0,860,0
Mali,Africa,33151,0,743,0
Cayman Islands,Americas,31472,0,37,0
Saint Lucia,Americas,30052,0,409,0
Benin,Africa,28014,0,163,0
Somalia,Eastern Mediterranean,27334,0,1361,0
Micronesia (Federated States of),Western Pacific,26472,0,65,0
United States Virgin Islands,Americas,25389,0,132,0
Congo,Africa,25196,0,389,0
San Marino,Europe,24382,15,125,0
Timor-Leste,South-East Asia,23460,0,138,0
Burkina Faso,Africa,22056,0,396,0
Solomon Islands,Western Pacific,21611,0,153,0
Liechtenstein,Europe,21473,0,87,0
Gibraltar,Europe,20550,0,113,0
Grenada,Americas,19693,0,238,0
Bermuda,Americas,18860,0,165,0
South Sudan,Africa,18368,0,138,0
Tajikistan,Europe,17786,0,125,0
Equatorial Guinea,Africa,17130,0,183,0
Monaco,Europe,16871,13,67,0
Tonga,Western Pacific,16819,0,12,0
Samoa,Western Pacific,16775,0,31,0
Marshall Islands,Western Pacific,16098,0,17,0
Nicaragua,Americas,15984,0,245,0
Dominica,Americas,15760,0,74,0
Djibouti,Eastern Mediterranean,15690,0,189,0
Central African Republic,Africa,15367,0,113,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,14096,0,41,0
Gambia,Africa,12626,0,372,0
Saint Martin,Americas,12324,0,46,0
Vanuatu,Western Pacific,12019,0,14,0
Greenland,Europe,11971,0,21,0
Yemen,Eastern Mediterranean,11945,0,2159,0
Sint Maarten,Americas,11051,0,92,0
Eritrea,Africa,10189,0,103,0
Bonaire,Americas,9864,0,33,0
Saint Vincent and the Grenadines,Americas,9631,0,124,0
Guinea-Bissau,Africa,9614,0,177,0
Niger,Africa,9515,0,315,0
Comoros,Africa,9109,0,160,0
Antigua and Barbuda,Americas,9106,0,146,0
American Samoa,Western Pacific,8341,0,34,0
Liberia,Africa,8090,0,294,0
Sierra Leone,Africa,7762,0,125,0
Chad,Africa,7698,0,194,0
British Virgin Islands,Americas,7305,0,64,0
Cook Islands,Western Pacific,7152,1,2,0
Turks and Caicos Islands,Americas,6630,0,39,0
Saint Kitts and Nevis,Americas,6607,0,46,0
Sao Tome and Principe,Africa,6589,0,80,0
Palau,Western Pacific,6176,0,9,0
Saint Barthélemy,Americas,5507,0,5,0
Nauru,Western Pacific,5393,0,1,0
Kiribati,Western Pacific,5082,0,24,0
Anguilla,Americas,3904,0,12,0
Wallis and Futuna,Western Pacific,3550,0,8,0
Saint Pierre and Miquelon,Americas,3426,0,2,0
Tuvalu,Western Pacific,2943,0,1,0
"Saint Helena, Ascension and Tristan da Cunha",Africa,2166,0,0,0
Falkland Islands (Malvinas),Americas,1923,0,0,0
Montserrat,Americas,1403,0,8,0
Sint Eustatius,Americas,1221,0,6,0
Saba,Americas,837,0,2,0
Niue,Western Pacific,825,3,0,0
Other,Other,764,0,13,0
Tokelau,Western Pacific,80,0,0,0
Holy See,Europe,26,0,0,0
Pitcairn Islands,Western Pacific,4,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0
Turkmenistan,Europe,0,0,0,0
